Filename, Records (Actual), Labeled Size, DataType, ParameterSet, Pivot Type, KStop, InsertionSort, Time(nS), Time(uS), Time(mS), Final Check Result, User Generated Data, GaussianSequential, Presorted sample [1:30], Sorted sample [1:30], Path, Full Path
asc5K.dat, 5000, 5000, ASCENDING, QS_MID_WSWAP_K_1_NO_IS, MEDIAN_OF_THREE_ALT, 1, No, 308100, 308, 0.31, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc5K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc5K.dat
dup10K.dat, 10000, 10000, DUPLICATE, QS_1ST_K_1_NO_IS, FIRST_ELEMENT, 1, No, 6903700, 6903, 6.9, true, false, false,  (0)2708 806 6250 1818 6882 (5)8345 1210 3424 7786 1103 (10)1268 4675 8891 5514 8072 (15)8816 8892 8503 7900 5681 (20)9234 9836 2915 2218 417 (25)2237 7939 883 736 565 (30)2591,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup10K.dat
dup10K.dat, 10000, 10000, DUPLICATE, QS_1ST_K_100_IS, FIRST_ELEMENT, 100, Yes, 3516000, 3516, 3.52, true, false, false,  (0)2708 806 6250 1818 6882 (5)8345 1210 3424 7786 1103 (10)1268 4675 8891 5514 8072 (15)8816 8892 8503 7900 5681 (20)9234 9836 2915 2218 417 (25)2237 7939 883 736 565 (30)2591,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup10K.dat
dup10K.dat, 10000, 10000, DUPLICATE, QS_1ST_K_50_IS, FIRST_ELEMENT, 50, Yes, 1284800, 1284, 1.28, true, false, false,  (0)2708 806 6250 1818 6882 (5)8345 1210 3424 7786 1103 (10)1268 4675 8891 5514 8072 (15)8816 8892 8503 7900 5681 (20)9234 9836 2915 2218 417 (25)2237 7939 883 736 565 (30)2591,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup10K.dat
dup10K.dat, 10000, 10000, DUPLICATE, QS_MID_K_1_NO_IS, MEDIAN_OF_THREE, 1, No, 2027800, 2027, 2.03, true, false, false,  (0)2708 806 6250 1818 6882 (5)8345 1210 3424 7786 1103 (10)1268 4675 8891 5514 8072 (15)8816 8892 8503 7900 5681 (20)9234 9836 2915 2218 417 (25)2237 7939 883 736 565 (30)2591,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup10K.dat
dup10K.dat, 10000, 10000, DUPLICATE, QS_MID_K_1_NO_IS_ALT, MEDIAN_OF_THREE_WITH_SWAPS, 1, No, 2188700, 2188, 2.19, true, false, false,  (0)2708 806 6250 1818 6882 (5)8345 1210 3424 7786 1103 (10)1268 4675 8891 5514 8072 (15)8816 8892 8503 7900 5681 (20)9234 9836 2915 2218 417 (25)2237 7939 883 736 565 (30)2591,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup10K.dat
dup10K.dat, 10000, 10000, DUPLICATE, QS_MID_WSWAP_K_1_NO_IS, MEDIAN_OF_THREE_ALT, 1, No, 1966000, 1966, 1.97, true, false, false,  (0)2708 806 6250 1818 6882 (5)8345 1210 3424 7786 1103 (10)1268 4675 8891 5514 8072 (15)8816 8892 8503 7900 5681 (20)9234 9836 2915 2218 417 (25)2237 7939 883 736 565 (30)2591,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup10K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup10K.dat
dup1K.dat, 1000, 1000, DUPLICATE, QS_1ST_K_1_NO_IS, FIRST_ELEMENT, 1, No, 147000, 147, 0.15, true, false, false,  (0)324 331 616 592 12 (5)515 291 129 560 975 (10)997 73 929 138 421 (15)668 904 643 819 630 (20)106 323 39 147 115 (25)541 102 878 44 278 (30)475,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup1K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup1K.dat
dup1K.dat, 1000, 1000, DUPLICATE, QS_1ST_K_100_IS, FIRST_ELEMENT, 100, Yes, 215900, 215, 0.21, true, false, false,  (0)324 331 616 592 12 (5)515 291 129 560 975 (10)997 73 929 138 421 (15)668 904 643 819 630 (20)106 323 39 147 115 (25)541 102 878 44 278 (30)475,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup1K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup1K.dat
dup1K.dat, 1000, 1000, DUPLICATE, QS_1ST_K_50_IS, FIRST_ELEMENT, 50, Yes, 232800, 232, 0.23, true, false, false,  (0)324 331 616 592 12 (5)515 291 129 560 975 (10)997 73 929 138 421 (15)668 904 643 819 630 (20)106 323 39 147 115 (25)541 102 878 44 278 (30)475,  (0)1 2 3 4 5 (5)6 6 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 21 22 24 25 (25)26 27 28 28 29 (30)31, res\input\dup1K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\dup1K.dat
